MES_REFERENCIA;SUBMERCADO;PERIODO_COMERCIALIZACAO;DIA;HORA;PLD_HORA
202512;NORDESTE;598;25;21;237.69
202512;NORTE;598;25;21;237.7
202512;SUDESTE;598;25;21;237.7
202512;SUL;598;25;21;237.7
202512;NORDESTE;599;25;22;237.37
202512;NORTE;599;25;22;237.38
202512;SUDESTE;599;25;22;237.38
202512;SUL;599;25;22;237.38
202512;NORDESTE;600;25;23;236.79
202512;NORTE;600;25;23;236.8
202512;SUDESTE;600;25;23;236.8
202512;SUL;600;25;23;236.8
202512;NORDESTE;553;24;0;226.4
202512;NORTE;553;24;0;226.41
202512;SUDESTE;553;24;0;226.41
202512;SUL;553;24;0;226.42
202512;NORDESTE;554;24;1;223.92
202512;NORTE;554;24;1;223.93
202512;SUDESTE;554;24;1;223.93
202512;SUL;554;24;1;223.94
202512;NORDESTE;555;24;2;223.75
202512;NORTE;555;24;2;223.76
202512;SUDESTE;555;24;2;223.75
202512;SUL;555;24;2;223.76
202512;NORDESTE;556;24;3;223.14
202512;NORTE;556;24;3;223.15
202512;SUDESTE;556;24;3;223.15
202512;SUL;556;24;3;223.15
202512;NORDESTE;557;24;4;223.46
202512;NORTE;557;24;4;223.47
202512;SUDESTE;557;24;4;223.46
202512;SUL;557;24;4;223.47
202512;NORDESTE;558;24;5;222.38
202512;NORTE;558;24;5;222.39
202512;SUDESTE;558;24;5;222.39
202512;SUL;558;24;5;222.39
202512;NORDESTE;559;24;6;109.1
202512;NORTE;559;24;6;109.11
202512;SUDESTE;559;24;6;109.1
202512;SUL;559;24;6;109.11
202512;NORDESTE;560;24;7;58.6
202512;NORTE;560;24;7;58.6
202512;SUDESTE;560;24;7;58.6
202512;SUL;560;24;7;58.6
202512;NORDESTE;561;24;8;58.6
202512;NORTE;561;24;8;58.6
202512;SUDESTE;561;24;8;58.6
202512;SUL;561;24;8;58.6
202512;NORDESTE;562;24;9;58.6
202512;NORTE;562;24;9;58.6
202512;SUDESTE;562;24;9;58.6
202512;SUL;562;24;9;58.6
202512;NORDESTE;563;24;10;58.6
202512;NORTE;563;24;10;58.6
202512;SUDESTE;563;24;10;58.6
202512;SUL;563;24;10;58.6
202512;NORDESTE;564;24;11;58.6
202512;NORTE;564;24;11;58.6
202512;SUDESTE;564;24;11;58.6
202512;SUL;564;24;11;58.6
202512;NORDESTE;565;24;12;58.6
202512;NORTE;565;24;12;58.6
202512;SUDESTE;565;24;12;58.6
202512;SUL;565;24;12;58.6
202512;NORDESTE;566;24;13;58.6
202512;NORTE;566;24;13;58.6
202512;SUDESTE;566;24;13;58.6
202512;SUL;566;24;13;58.6
202512;NORDESTE;567;24;14;58.6
202512;NORTE;567;24;14;58.6
202512;SUDESTE;567;24;14;58.6
202512;SUL;567;24;14;58.6
